Region/Country/Area		Year	Series	Value	Footnotes	Source
140	Central African Republic	2015	Employment by industry: Agriculture (%) Female	82.807	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
140	Central African Republic	2015	Employment by industry: Industry (%) Female	2.687	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
140	Central African Republic	2015	Employment by industry: Services (%) Female	14.506	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
140	Central African Republic	2020	Employment by industry: Agriculture (%) Male and Female	77.081	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
140	Central African Republic	2020	Employment by industry: Industry (%) Male and Female	5.416	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
140	Central African Republic	2020	Employment by industry: Services (%) Male and Female	17.503	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
140	Central African Republic	2020	Employment by industry: Agriculture (%) Male	73.779	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
140	Central African Republic	2020	Employment by industry: Industry (%) Male	7.715	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
140	Central African Republic	2020	Employment by industry: Services (%) Male	18.506	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
140	Central African Republic	2020	Employment by industry: Agriculture (%) Female	81.005	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
140	Central African Republic	2020	Employment by industry: Industry (%) Female	2.683	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
140	Central African Republic	2020	Employment by industry: Services (%) Female	16.312	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2005	Employment by industry: Agriculture (%) Male and Female	79.894	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2005	Employment by industry: Industry (%) Male and Female	2.34	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2005	Employment by industry: Services (%) Male and Female	17.766	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2005	Employment by industry: Agriculture (%) Male	78.968	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2005	Employment by industry: Industry (%) Male	3.695	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2005	Employment by industry: Services (%) Male	17.337	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2005	Employment by industry: Agriculture (%) Female	81.018	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2005	Employment by industry: Industry (%) Female	0.695	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2005	Employment by industry: Services (%) Female	18.287	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2010	Employment by industry: Agriculture (%) Male and Female	78.51	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2010	Employment by industry: Industry (%) Male and Female	2.359	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2010	Employment by industry: Services (%) Male and Female	19.131	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2010	Employment by industry: Agriculture (%) Male	78.274	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2010	Employment by industry: Industry (%) Male	3.751	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2010	Employment by industry: Services (%) Male	17.974	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2010	Employment by industry: Agriculture (%) Female	78.796	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2010	Employment by industry: Industry (%) Female	0.669	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2010	Employment by industry: Services (%) Female	20.535	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2015	Employment by industry: Agriculture (%) Male and Female	76.968	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2015	Employment by industry: Industry (%) Male and Female	2.361	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2015	Employment by industry: Services (%) Male and Female	20.671	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2015	Employment by industry: Agriculture (%) Male	77.704	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2015	Employment by industry: Industry (%) Male	3.782	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2015	Employment by industry: Services (%) Male	18.514	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2015	Employment by industry: Agriculture (%) Female	76.084	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2015	Employment by industry: Industry (%) Female	0.654	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2015	Employment by industry: Services (%) Female	23.262	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2020	Employment by industry: Agriculture (%) Male and Female	76.282	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2020	Employment by industry: Industry (%) Male and Female	2.104	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2020	Employment by industry: Services (%) Male and Female	21.613	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2020	Employment by industry: Agriculture (%) Male	77.819	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2020	Employment by industry: Industry (%) Male	3.388	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2020	Employment by industry: Services (%) Male	18.793	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2020	Employment by industry: Agriculture (%) Female	74.451	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2020	Employment by industry: Industry (%) Female	0.574	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
148	Chad	2020	Employment by industry: Services (%) Female	24.975	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2005	Employment by industry: Agriculture (%) Male and Female	5.42	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2005	Employment by industry: Industry (%) Male and Female	29.236	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2005	Employment by industry: Services (%) Male and Female	65.345	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2005	Employment by industry: Agriculture (%) Male	6.669	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2005	Employment by industry: Industry (%) Male	39.58	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2005	Employment by industry: Services (%) Male	53.751	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2005	Employment by industry: Agriculture (%) Female	3.799	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2005	Employment by industry: Industry (%) Female	15.821	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2005	Employment by industry: Services (%) Female	80.38	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2010	Employment by industry: Agriculture (%) Male and Female	4.713	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2010	Employment by industry: Industry (%) Male and Female	26.731	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2010	Employment by industry: Services (%) Male and Female	68.556	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2010	Employment by industry: Agriculture (%) Male	5.979	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2010	Employment by industry: Industry (%) Male	37.069	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2010	Employment by industry: Services (%) Male	56.952	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2010	Employment by industry: Agriculture (%) Female	3.09	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2010	Employment by industry: Industry (%) Female	13.47	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2010	Employment by industry: Services (%) Female	83.441	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2015	Employment by industry: Agriculture (%) Male and Female	4.032	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2015	Employment by industry: Industry (%) Male and Female	24.896	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2015	Employment by industry: Services (%) Male and Female	71.072	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2015	Employment by industry: Agriculture (%) Male	5.25	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2015	Employment by industry: Industry (%) Male	35.163	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2015	Employment by industry: Services (%) Male	59.586	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2015	Employment by industry: Agriculture (%) Female	2.476	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2015	Employment by industry: Industry (%) Female	11.784	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2015	Employment by industry: Services (%) Female	85.74	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2020	Employment by industry: Agriculture (%) Male and Female	3.498	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2020	Employment by industry: Industry (%) Male and Female	22.913	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2020	Employment by industry: Services (%) Male and Female	73.589	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2020	Employment by industry: Agriculture (%) Male	4.676	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2020	Employment by industry: Industry (%) Male	32.98	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2020	Employment by industry: Services (%) Male	62.344	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2020	Employment by industry: Agriculture (%) Female	2.012	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2020	Employment by industry: Industry (%) Female	10.21	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
830	Channel Islands	2020	Employment by industry: Services (%) Female	87.778	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2005	Employment by industry: Agriculture (%) Male and Female	13.16		"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2005	Employment by industry: Industry (%) Male and Female	22.95		"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2005	Employment by industry: Services (%) Male and Female	63.89		"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2005	Employment by industry: Agriculture (%) Male	17.257		"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2005	Employment by industry: Industry (%) Male	29.317		"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2005	Employment by industry: Services (%) Male	53.426		"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2005	Employment by industry: Agriculture (%) Female	5.855		"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2005	Employment by industry: Industry (%) Female	11.598		"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2005	Employment by industry: Services (%) Female	82.547		"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2010	Employment by industry: Agriculture (%) Male and Female	10.605		"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2010	Employment by industry: Industry (%) Male and Female	22.957		"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2010	Employment by industry: Services (%) Male and Female	66.437		"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2010	Employment by industry: Agriculture (%) Male	14.123		"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2010	Employment by industry: Industry (%) Male	31.123		"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2010	Employment by industry: Services (%) Male	54.754		"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2010	Employment by industry: Agriculture (%) Female	5.141		"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2010	Employment by industry: Industry (%) Female	10.271		"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2010	Employment by industry: Services (%) Female	84.588		"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2015	Employment by industry: Agriculture (%) Male and Female	9.378		"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2015	Employment by industry: Industry (%) Male and Female	23.284		"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2015	Employment by industry: Services (%) Male and Female	67.338		"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2015	Employment by industry: Agriculture (%) Male	12.749		"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2015	Employment by industry: Industry (%) Male	31.677		"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2015	Employment by industry: Services (%) Male	55.574		"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2015	Employment by industry: Agriculture (%) Female	4.533		"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2015	Employment by industry: Industry (%) Female	11.226		"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2015	Employment by industry: Services (%) Female	84.241		"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2020	Employment by industry: Agriculture (%) Male and Female	8.773	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2020	Employment by industry: Industry (%) Male and Female	22.04	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2020	Employment by industry: Services (%) Male and Female	69.187	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2020	Employment by industry: Agriculture (%) Male	11.662	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2020	Employment by industry: Industry (%) Male	30.831	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2020	Employment by industry: Services (%) Male	57.507	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2020	Employment by industry: Agriculture (%) Female	4.776	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2020	Employment by industry: Industry (%) Female	9.878	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
152	Chile	2020	Employment by industry: Services (%) Female	85.346	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
156	China	2005	Employment by industry: Agriculture (%) Male and Female	44.8	"Estimate.;For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China."	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
156	China	2005	Employment by industry: Industry (%) Male and Female	23.8	"Estimate.;For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China."	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
156	China	2005	Employment by industry: Services (%) Male and Female	31.4	"Estimate.;For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China."	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
156	China	2005	Employment by industry: Agriculture (%) Male	47.787	"Estimate.;For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China."	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
156	China	2005	Employment by industry: Industry (%) Male	23.227	"Estimate.;For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China."	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
156	China	2005	Employment by industry: Services (%) Male	28.986	"Estimate.;For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China."	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
156	China	2005	Employment by industry: Agriculture (%) Female	41.136	"Estimate.;For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China."	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
156	China	2005	Employment by industry: Industry (%) Female	24.503	"Estimate.;For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China."	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
156	China	2005	Employment by industry: Services (%) Female	34.361	"Estimate.;For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China."	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
156	China	2010	Employment by industry: Agriculture (%) Male and Female	36.7	"Estimate.;For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China."	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
156	China	2010	Employment by industry: Industry (%) Male and Female	28.7	"Estimate.;For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China."	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
156	China	2010	Employment by industry: Services (%) Male and Female	34.6	"Estimate.;For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China."	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
